"year_month","product_type","unpackaged_inventory_units","packaged_production_units","packaged_inventory_units_federal_lh","packaged_inventory_units_prov_distributors_retailers","sales_medical_units","sales_non_medical_units","unpackaged_production_kg","unpackaged_inventory_kg","packaged_production_kg","packaged_inventory_kg_federal_lh","packaged_inventory_kg_prov_distributors_retailers","sales_medical_kg","sales_non_medical_kg"
"2022-06","cannabis seeds / graines de cannabis","n/a / n/d","2,309","37,306","69,051","0","6,274","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d"
"2022-07","cannabis seeds / graines de cannabis","n/a / n/d","48","36,952","62,187","0","3,521","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d"
"2022-08","cannabis seeds / graines de cannabis","n/a / n/d","684","36,290","66,883","2","3,421","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d"
"2022-09","cannabis seeds / graines de cannabis","n/a / n/d","60","36,290","59,340","6","3,120","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d"
"2022-10","cannabis seeds / graines de cannabis","n/a / n/d","0","40,582","56,910","0","3,271","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d"
"2022-11","cannabis seeds / graines de cannabis","n/a / n/d","445","33,949","46,126","30","2,688","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d"
"2022-12","cannabis seeds / graines de cannabis","n/a / n/d","9,897","42,722","42,431","0","3,079","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d"
"2023-01","cannabis seeds / graines de cannabis","n/a / n/d","18,549","39,909","65,205","2","3,975","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d"
"2023-02","cannabis seeds / graines de cannabis","n/a / n/d","12,090","39,327","71,742","20","5,597","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d"
"2023-03","cannabis seeds / graines de cannabis","n/a / n/d","6,093","35,680","62,893","53","11,610","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d"
"2023-04","cannabis seeds / graines de cannabis","n/a / n/d","3397","22,514","49,708","40","14,744","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d"
"2023-05","cannabis seeds / graines de cannabis","n/a / n/d","3417","22,502","42,972","61","10,667","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d"
"2023-06","cannabis seeds / graines de cannabis","n/a / n/d","2482","18,887","40,812","25","5,527","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d"
"2023-07","cannabis seeds / graines de cannabis","n/a / n/d","3142","23,807","34,151","3","3,463","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d"
"2023-08","cannabis seeds / graines de cannabis","n/a / n/d","2304","23,782","32,489","5","2,794","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d"
"2023-09","cannabis seeds / graines de cannabis","n/a / n/d","2243","22,184","30,165","12","2,567","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d"
"2023-10","cannabis seeds / graines de cannabis","n/a / n/d","2134","21,422","30,576","16","2,581","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d"
"2023-11","cannabis seeds / graines de cannabis","n/a / n/d","2870","20,530","28,547","0","2,259","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d"
"2023-12","cannabis seeds / graines de cannabis","n/a / n/d","14430","25,903","24,217","2","2,195","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d"
"2024-01","cannabis seeds / graines de cannabis","n/a / n/d","9472","20,211","35,865","9","3,167","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d"
"2024-02","cannabis seeds / graines de cannabis","n/a / n/d","8700","25,489","37,861","7","6,270","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d"
"2024-03","cannabis seeds / graines de cannabis","n/a / n/d","9493","24,063","39,980","13","10,484","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d"
"2024-04","cannabis seeds / graines de cannabis","n/a / n/d","11616","20,750","31,984","83","12,294","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d"
"2024-05","cannabis seeds / graines de cannabis","n/a / n/d","6332","18,999","31,878","14","8,202","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d"
"2024-06","cannabis seeds / graines de cannabis","n/a / n/d","2542","19,163","30,273","16","4,669","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d"
"2024-07","cannabis seeds / graines de cannabis","n/a / n/d","1944","11,838","35,366","8","3,752","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d"
"2024-08","cannabis seeds / graines de cannabis","n/a / n/d","2524","12,235","34,147","13","3,161","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d"
"2024-09","cannabis seeds / graines de cannabis","n/a / n/d","2280","11,570","32,964","2","2,931","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d"
"2024-10","cannabis seeds / graines de cannabis","n/a / n/d","1980","11,203","31,621","48","3,962","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d"
"2024-11","cannabis seeds / graines de cannabis","n/a / n/d","6167","12,877","33,482","0","5,284","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d"
"2024-12","cannabis seeds / graines de cannabis","n/a / n/d","12736","15,293","35,296","53","4,720","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d"
"2025-01","cannabis seeds / graines de cannabis","n/a / n/d","20887","14,104","36,608","51","3,484","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d"
"2025-02","cannabis seeds / graines de cannabis","n/a / n/d","5016","12,063","36,342","615","3,378","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d"
"2025-03","cannabis seeds / graines de cannabis","n/a / n/d","8147","13,573","46,712","69","4,295","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d"
"2019-10","cannabis topicals / cannabis pour usage topique","n/a / n/d","0","187","0","0","0","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d"
"2019-11","cannabis topicals / cannabis pour usage topique","n/a / n/d","0","10","1095","0","0","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d"
"2019-12","cannabis topicals / cannabis pour usage topique","n/a / n/d","0","10","4670","6","328","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d"
"2020-01","cannabis topicals / cannabis pour usage topique","n/a / n/d","0","10","4443","0","279","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d"
"2020-02","cannabis topicals / cannabis pour usage topique","n/a / n/d","3170","3180","920","0","313","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d"
"2020-03","cannabis topicals / cannabis pour usage topique","n/a / n/d","32458","23536","2798","0","202","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d"
"2020-04","cannabis topicals / cannabis pour usage topique","n/a / n/d","11872","5341","31776","165","1736","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d"
"2020-05","cannabis topicals / cannabis pour usage topique","n/a / n/d","45791","24402","24690","237","6068","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d"
"2020-06","cannabis topicals / cannabis pour usage topique","n/a / n/d","28483","11924","50342","317","7874","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d"
"2020-07","cannabis topicals / cannabis pour usage topique","n/a / n/d","44336","25242","56222","415","10030","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d"
"2020-08","cannabis topicals / cannabis pour usage topique","n/a / n/d","27482","34489","54265","438","10940","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d"
"2020-09","cannabis topicals / cannabis pour usage topique","n/a / n/d","35794","29107","69625","553","11003","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d"
"2020-10","cannabis topicals / cannabis pour usage topique","n/a / n/d","24851","33457","64633","651","10984","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d"
"2020-11","cannabis topicals / cannabis pour usage topique","n/a / n/d","45201","49006","64242","653","9287","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d"
"2020-12","cannabis topicals / cannabis pour usage topique","n/a / n/d","51844","45875","77918","628","17273","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d"
"2021-01","cannabis topicals / cannabis pour usage topique","n/a / n/d","63687","67189","73378","368","18590","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d"
"2021-02","cannabis topicals / cannabis pour usage topique","n/a / n/d","85324","106190","79244","794","18854","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d"
"2021-03","cannabis topicals / cannabis pour usage topique","n/a / n/d","150581","209113","113914","3318","23614","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d"
"2021-04","cannabis topicals / cannabis pour usage topique","n/a / n/d","112543","234360","154500","4672","26041","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d"
"2021-05","cannabis topicals / cannabis pour usage topique","n/a / n/d","119948","298963","145672","5332","28574","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d"
"2021-06","cannabis topicals / cannabis pour usage topique","n/a / n/d","94318","207841","185937","4681","24019","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d"
"2021-07","cannabis topicals / cannabis pour usage topique","n/a / n/d","80954","311305","202222","5600","28200","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d"
"2021-08","cannabis topicals / cannabis pour usage topique","n/a / n/d","68466","317366","212817","6606","32215","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d"
"2021-09","cannabis topicals / cannabis pour usage topique","n/a / n/d","73991","320494","209826","7380","32333","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d"
"2021-10","cannabis topicals / cannabis pour usage topique","n/a / n/d","70069","338649","207924","9741","33352","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d"
"2021-11","cannabis topicals / cannabis pour usage topique","n/a / n/d","101474","285696","253080","12869","33446","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d"
"2021-12","cannabis topicals / cannabis pour usage topique","n/a / n/d","65880","272681","275470","13339","52663","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d"
"2022-01","cannabis topicals / cannabis pour usage topique","n/a / n/d","78860","236373","286600","12431","33269","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d"
"2022-02","cannabis topicals / cannabis pour usage topique","n/a / n/d","66854","238890","279772","11971","34036","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d"
"2022-03","cannabis topicals / cannabis pour usage topique","n/a / n/d","96509","279209","273868","14795","35227","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d"
"2022-04","cannabis topicals / cannabis pour usage topique","n/a / n/d","59,831","266,818","258,026","12,616","36,216","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d"
"2022-05","cannabis topicals / cannabis pour usage topique","n/a / n/d","102,584","295,026","240,512","13,420","37,383","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d"
"2022-06","cannabis topicals / cannabis pour usage topique","n/a / n/d","72,002","292,235","240,688","13,392","44,270","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d"
"2022-07","cannabis topicals / cannabis pour usage topique","n/a / n/d","67,995","274,972","244,537","12,780","41,906","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d"
"2022-08","cannabis topicals / cannabis pour usage topique","n/a / n/d","55,890","299,935","223,108","13,243","40,509","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d"
"2022-09","cannabis topicals / cannabis pour usage topique","n/a / n/d","57,164","310,166","208,352","16,174","33,437","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d"
"2022-10","cannabis topicals / cannabis pour usage topique","n/a / n/d","67,576","323,713","192,035","15,505","36,391","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d"
"2022-11","cannabis topicals / cannabis pour usage topique","n/a / n/d","91,947","322,341","191,830","20,199","37,301","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d"
"2022-12","cannabis topicals / cannabis pour usage topique","n/a / n/d","87,220","318,170","190,972","24,148","56,901","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d"
"2023-01","cannabis topicals / cannabis pour usage topique","n/a / n/d","74,406","288,258","177,982","22,993","36,678","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d"
"2023-02","cannabis topicals / cannabis pour usage topique","n/a / n/d","72,203","295,835","176,078","24,425","35,297","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d"
"2023-03","cannabis topicals / cannabis pour usage topique","n/a / n/d","69,233","290,818","165,741","28,115","38,552","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d"
"2023-04","cannabis topicals / cannabis pour usage topique","n/a / n/d","59589","184170","160614","26165","37107","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d"
"2023-05","cannabis topicals / cannabis pour usage topique","n/a / n/d","77425","215640","153827","38852","35584","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d"
"2023-06","cannabis topicals / cannabis pour usage topique","n/a / n/d","46045","193836","139602","34643","41921","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d"
"2023-07","cannabis topicals / cannabis pour usage topique","n/a / n/d","59813","344746","129481","25351","36574","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d"
"2023-08","cannabis topicals / cannabis pour usage topique","n/a / n/d","60927","291614","127019","24327","38831","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d"
"2023-09","cannabis topicals / cannabis pour usage topique","n/a / n/d","78733","243395","102014","31408","38174","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d"
"2023-10","cannabis topicals / cannabis pour usage topique","n/a / n/d","67575","312356","132402","28215","35812","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d"
"2023-11","cannabis topicals / cannabis pour usage topique","n/a / n/d","91953","366132","148769","30621","35787","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d"
"2023-12","cannabis topicals / cannabis pour usage topique","n/a / n/d","87220","358546","137060","34149","43729","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d"
"2024-01","cannabis topicals / cannabis pour usage topique","n/a / n/d","197743","388043","114496","32227","30284","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d"
"2024-02","cannabis topicals / cannabis pour usage topique","n/a / n/d","77413","354290","120309","35200","30035","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d"
"2024-03","cannabis topicals / cannabis pour usage topique","n/a / n/d","84762","360148","91757","27516","26441","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d"
"2024-04","cannabis topicals / cannabis pour usage topique","n/a / n/d","104927","376548","115306","41074","28849","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d"
"2024-05","cannabis topicals / cannabis pour usage topique","n/a / n/d","102759","390070","111365","36348","29766","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d"
"2024-06","cannabis topicals / cannabis pour usage topique","n/a / n/d","80495","381783","106668","36961","28690","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d"
"2024-07","cannabis topicals / cannabis pour usage topique","n/a / n/d","72323","384337","166019.5397","39311","35608.23652","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d"
"2024-08","cannabis topicals / cannabis pour usage topique","n/a / n/d","142281","403598","168064.0148","39307","37240.56574","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d"
"2024-09","cannabis topicals / cannabis pour usage topique","n/a / n/d","98531","412156","160528.3177","43032","35955.58822","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d"
"2024-10","cannabis topicals / cannabis pour usage topique","n/a / n/d","79307","447795","139980","48664","34751.5","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d"
"2024-11","cannabis topicals / cannabis pour usage topique","n/a / n/d","91850","410545","145160","46707","35761.5","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d"
"2024-12","cannabis topicals / cannabis pour usage topique","n/a / n/d","140757","420419","136865","48602","38569","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d"
"2025-01","cannabis topicals / cannabis pour usage topique","n/a / n/d","109229","397778","117993","53368","34996","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d"
"2025-02","cannabis topicals / cannabis pour usage topique","n/a / n/d","122101","392688","115242","43484","38499","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d"
"2025-03","cannabis topicals / cannabis pour usage topique","n/a / n/d","139424","392299","130868","48248","48086","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d"
"2018-10","dried cannabis / cannabis séché","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","41677","96822","13830","12310","6171","1941","4405"
"2018-11","dried cannabis / cannabis séché","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","34893","99007","11117","10410","8314","1795","5490"
"2018-12","dried cannabis / cannabis séché","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","31791","111693","9597","8789","10151","1816","5784"
"2019-01","dried cannabis / cannabis séché","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","43419","117486","9703","10303","10016","1779","5528"
"2019-02","dried cannabis / cannabis séché","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","37849","120784","11575","11484","11670","1698","4985"
"2019-03","dried cannabis / cannabis séché","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","48580","141536","13981","13033","17713","1698","5928"
"2019-04","dried cannabis / cannabis séché","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","70198","182998","13331","13408","17870","2129","6735"
"2019-05","dried cannabis / cannabis séché","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","80250","222551","19345","17605","22315","1697","7818"
"2019-06","dried cannabis / cannabis séché","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","83483","243754","20100","18655","30363","1535","8480"
"2019-07","dried cannabis / cannabis séché","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","91331","292292","20378","27681","29826","1640","10054"
"2019-08","dried cannabis / cannabis séché","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","93033","328186","18571","31702","29381","1210","11762"
"2019-09","dried cannabis / cannabis séché","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","n/a / n/d","94014","316515","19003","33518","30633","1215","11707"
"2019-10","dried cannabis / cannabis séché","n/a / n/d","6661673","10887928","11973079","190348","5204955","144955","385922","n/a / n/d","37949","30637","n/a / n/d","n/a / n/d"
"2019-11","dried cannabis / cannabis séché","n/a / n/d","7073490","11696239","11784498","195674","5327990","121273","413227","n/a / n/d","35771","30045","n/a / n/d","n/a / n/d"
"2019-12","dried cannabis / cannabis séché","n/a / n/d","6196582","10777371","11875242","201151","5736725","100237","473414","n/a / n/d","32606","30147","n/a / n/d","n/a / n/d"
"2020-01","dried cannabis / cannabis séché","n/a / n/d","8144584","13952588","11195359","199634","5513535","88746","491276","n/a / n/d","36370","28361","n/a / n/d","n/a / n/d"
"2020-02","dried cannabis / cannabis séché","n/a / n/d","7635589","14802076","11769070","180700","5229083","104880","524041","n/a / n/d","36487","30235","n/a / n/d","n/a / n/d"
"2020-03","dried cannabis / cannabis séché","n/a / n/d","8964731","16093436","13714839","244366","5729118","103429","563985","n/a / n/d","39887","36026","n/a / n/d","n/a / n/d"
"2020-04","dried cannabis / cannabis séché","n/a / n/d","7792866","15529655","14370269","233752","5199858","96475","620144","n/a / n/d","46413","38601","n/a / n/d","n/a / n/d"
"2020-05","dried cannabis / cannabis séché","n/a / n/d","5403681","14348026","13206710","212665","5368421","117121","669787","n/a / n/d","44695","36686","n/a / n/d","n/a / n/d"
"2020-06","dried cannabis / cannabis séché","n/a / n/d","5839035","15134838","12177789","240406","5895382","125951","720425","n/a / n/d","48259","34323","n/a / n/d","n/a / n/d"
"2020-07","dried cannabis / cannabis séché","n/a / n/d","6524892","15642555","11294603","217694","6567647","110763","753886","n/a / n/d","55035","39141","n/a / n/d","n/a / n/d"
"2020-08","dried cannabis / cannabis séché","n/a / n/d","7917450","15855577","10866894","216366","6752938","112025","782698","n/a / n/d","57066","43174","n/a / n/d","n/a / n/d"
"2020-09","dried cannabis / cannabis séché","n/a / n/d","7752052","15122370","11249392","206946","6810721","132718","816913","n/a / n/d","54244","46164","n/a / n/d","n/a / n/d"
"2020-10","dried cannabis / cannabis séché","n/a / n/d","10860877","16565102","11105817","214849","6775519","220461","961070","n/a / n/d","58743","46689","n/a / n/d","n/a / n/d"
"2020-11","dried cannabis / cannabis séché","n/a / n/d","9346386","15974519","12559424","197769","6025865","165189","1038470","n/a / n/d","77068","50187","n/a / n/d","n/a / n/d"
"2020-12","dried cannabis / cannabis séché","n/a / n/d","9007467","15181489","14292791","207697","6925810","96009","1029923","n/a / n/d","53788","57381","n/a / n/d","n/a / n/d"
"2021-01","dried cannabis / cannabis séché","n/a / n/d","9352954","17417141","13601383","220256","6912986","93400","973491","n/a / n/d","60580","51127","n/a / n/d","n/a / n/d"
"2021-02","dried cannabis / cannabis séché","n/a / n/d","8129802","18136610","14535304","194132","6205926","91272","968289","n/a / n/d","62662","55354","n/a / n/d","n/a / n/d"
"2021-03","dried cannabis / cannabis séché","n/a / n/d","11315971","19977373","14644497","245095","7287704","112238","956655","n/a / n/d","72963","58945","n/a / n/d","n/a / n/d"
"2021-04","dried cannabis / cannabis séché","n/a / n/d","10309790","20986039","14670506","223364","7406134","122757","984600","n/a / n/d","75744","60763","n/a / n/d","n/a / n/d"
"2021-05","dried cannabis / cannabis séché","n/a / n/d","9884888","20794506","15014953","220673","7519246","126577","997257","n/a / n/d","110514","66021","n/a / n/d","n/a / n/d"
"2021-06","dried cannabis / cannabis séché","n/a / n/d","10767389","20721799","16097480","215237","7896172","133690","985001","n/a / n/d","89853","71545","n/a / n/d","n/a / n/d"
"2021-07","dried cannabis / cannabis séché","n/a / n/d","9883187","21368801","15459185","223156","8554331","121102","1003897","n/a / n/d","86442","68793","n/a / n/d","n/a / n/d"
"2021-08","dried cannabis / cannabis séché","n/a / n/d","9489589","18306943","14859959","240393","9173688","120634","993355","n/a / n/d","78667","67753","n/a / n/d","n/a / n/d"
"2021-09","dried cannabis / cannabis séché","n/a / n/d","10174711","18835735","14548893","225371","9134736","153751","1025730","n/a / n/d","79289","66410","n/a / n/d","n/a / n/d"
"2021-10","dried cannabis / cannabis séché","n/a / n/d","10429257","19206534","15016864","226488","9266900","238300","1120395","n/a / n/d","80790","66958","n/a / n/d","n/a / n/d"
"2021-11","dried cannabis / cannabis séché","n/a / n/d","12006600","20308459","15748969","246202","8536114","169408","1264748","n/a / n/d","86117","67259","n/a / n/d","n/a / n/d"
