product_type,total_medical_sales,total_non_medical_sales,avg_inventory,total_sales
cannabis extracts / extraits de cannabis,0.0,0.0,,0.0
cannabis seeds / graines de cannabis,0.0,0.0,,0.0
cannabis topicals / cannabis pour usage topique,0.0,0.0,,0.0
dried cannabis / cannabis séché,0.0,0.0,87496.9936440554,0.0
edible cannabis / cannabis comestible,0.0,0.0,,0.0
vegetative cannabis plants / plantes de cannabis végétatives,0.0,0.0,,0.0
whole cannabis plants / plantes de cannabis entières,0.0,0.0,,0.0
