google_name,rating,review_count,business_status,google_address,place_id,Establishment Name,Address
Co-op Cannabis Hamptons,4.2,28,CLOSED_PERMANENTLY,"1000 Hamptons Dr NW #614, Calgary, AB T3A 6A7, Canada",ChIJSzUIby9ncVMRSq_mmZ0cpXc,Co-op Cannabis-Hamptons,614-1000 HAMPTONS DR NW
Co-op Cannabis Richmond Road,4.2,14,OPERATIONAL,"4938 Richmond Rd SW, Calgary, AB T3E 6K4, Canada",ChIJGxEUz4hxcVMRt25gIjNFSZQ,Co-op Cannabis-Richmond Road,4938 RICHMOND RD SW
COST CANNABIS,3.7,34,OPERATIONAL,"9919 Fairmount Dr SE, Calgary, AB T2J 0S2, Canada",ChIJH7UlsZ1xcVMRrkbo4ih47Ps,Cost Cannabis,100-5253 RICHMOND RD SW
COST CANNABIS,3.7,34,OPERATIONAL,"9919 Fairmount Dr SE, Calgary, AB T2J 0S2, Canada",ChIJH7UlsZ1xcVMRrkbo4ih47Ps,Cost Cannabis,130-9919 FAIRMOUNT DR SE
Dank Cannabis Weed Dispensary Southland,4.9,351,OPERATIONAL,"9737 Macleod Trl SW #445, Calgary, AB T2J 0P6, Canada",ChIJ6aidEqJxcVMRvLnML2uIfLE,Dank Cannabis,175-45 CARRINGTON BLVD NW
Dank Cannabis Weed Dispensary Southland,4.9,351,OPERATIONAL,"9737 Macleod Trl SW #445, Calgary, AB T2J 0P6, Canada",ChIJ6aidEqJxcVMRvLnML2uIfLE,Dank Cannabis,R-6412 OLD BANFF COACH RD SW
Dank Cannabis Weed Dispensary Southland,4.9,351,OPERATIONAL,"9737 Macleod Trl SW #445, Calgary, AB T2J 0P6, Canada",ChIJ6aidEqJxcVMRvLnML2uIfLE,Dank Cannabis,2-1603 62 AVE SE
Dank Cannabis Weed Dispensary Southland,4.9,351,OPERATIONAL,"9737 Macleod Trl SW #445, Calgary, AB T2J 0P6, Canada",ChIJ6aidEqJxcVMRvLnML2uIfLE,Dank Cannabis,2-3525 26 AVE SE
Dank Cannabis Weed Dispensary Southland,4.9,351,OPERATIONAL,"9737 Macleod Trl SW #445, Calgary, AB T2J 0P6, Canada",ChIJ6aidEqJxcVMRvLnML2uIfLE,Dank Cannabis,123-1829 RANCHLANDS BOULEVARD NW
Dank Cannabis Weed Dispensary Southland,4.9,351,OPERATIONAL,"9737 Macleod Trl SW #445, Calgary, AB T2J 0P6, Canada",ChIJ6aidEqJxcVMRvLnML2uIfLE,Dank Cannabis,445-9737 MACLEOD TRAIL SW
Dank Cannabis Weed Dispensary Southland,4.9,351,OPERATIONAL,"9737 Macleod Trl SW #445, Calgary, AB T2J 0P6, Canada",ChIJ6aidEqJxcVMRvLnML2uIfLE,Dank Cannabis,3412 3 AVE NW
Eastwood Cannabis,4.9,83,OPERATIONAL,"6222 36 St SE, Calgary, AB T2C 3J4, Canada",ChIJHatgOwR7cVMRXpROddZkC-I,Eastwood,10-6222 36 ST SE
Fire & Flower Cannabis Co. | Calgary Sky Pointe Landing Weed Store,4.5,206,OPERATIONAL,"6004 Country Hills Blvd NE, Calgary, AB T3N 1T8, Canada",ChIJr84-9r9jcVMRJXF-VTLkxLA,Fire & Flower Cannabis Co.,1560-6004 COUNTRY HILLS BOULEVARD NE
FivePoint Cannabis Victoria Park / First Street,4.8,59,OPERATIONAL,"1318 1 St SW, Calgary, AB T2R 0V7, Canada",ChIJOcvIf1lxcVMRVVfM7iWhMKI,FivePoint Cannabis 1st St.,1318 1 ST SW
FivePoint Cannabis Bridgeland,4.9,197,OPERATIONAL,"945 General Ave NE, Calgary, AB T2E 9E1, Canada",ChIJn011U_1lcVMRShL9Xa6GmZQ,FivePoint Cannabis Bridgeland,945 GENERAL AVE NE
Flamingo + Cannabis Olympic Park,5.0,107,OPERATIONAL,"420 Na'a Common SW, Calgary, AB T3B 5V6, Canada",ChIJ7_ADoFBvcVMR02ieS-bZtAI,Flamingo+ Cannabis Trinity Hills,420 NA'A COMMON SW
